winner,moves,p1_time,p2_time,total_time,p1_eval_calls,p2_eval_calls,p1_max_depth,p2_max_depth
1,6,0.0,0.0,0.01433253288269043,,,,
0,9,0.0,0.0,0.00754547119140625,,,,
1,6,0.0,0.0005967617034912109,0.004984140396118164,,,,
1,8,0.0,0.0005968213081359863,0.015127182006835938,,,,
2,9,0.0,0.00037670135498046875,0.005881071090698242,,,,
1,8,0.0,0.0,0.013076305389404297,,,,
0,9,0.0,0.0,0.013519525527954102,,,,
1,6,0.0,0.0,0.0030450820922851562,,,,
1,6,0.0,0.00031956036885579425,0.006323337554931641,,,,
1,6,0.0,0.0003361701965332031,0.0017237663269042969,,,,
1,6,0.0,0.0,0.002481698989868164,,,,
1,6,0.0,0.0,0.0029535293579101562,,,,
1,8,0.0,0.0,0.006605386734008789,,,,
1,8,0.0,0.00018107891082763672,0.0041201114654541016,,,,
1,8,0.0,0.0005671977996826172,0.0026183128356933594,,,,
1,8,0.0,0.0,0.07805013656616211,,,,
0,9,0.0,0.0,0.005354642868041992,,,,
1,6,0.0,0.0,0.00046062469482421875,,,,
0,9,0.0,0.0006151199340820312,0.005930900573730469,,,,
1,8,0.0,0.00037670135498046875,0.003843545913696289,,,,
0,9,0.0,0.0,0.0031938552856445312,,,,
0,9,0.0,0.0007815361022949219,0.004949331283569336,,,,
1,8,0.0,6.401538848876953e-05,0.0051097869873046875,,,,
1,6,0.0,0.0,0.0034856796264648438,,,,
1,6,0.0,0.0,0.0032041072845458984,,,,
1,6,0.0,0.0,0.003293275833129883,,,,
1,6,0.0,0.0,0.0,,,,
0,9,0.0,0.0,0.007082939147949219,,,,
1,8,0.0,0.0,0.004790067672729492,,,,
0,9,0.0,0.0,0.0039806365966796875,,,,
1,8,0.0,0.0,0.002945423126220703,,,,
1,8,0.0,0.00038737058639526367,0.0029418468475341797,,,,
1,6,0.0,0.0,0.0010263919830322266,,,,
1,6,0.0,0.00039696693420410156,0.0057141780853271484,,,,
1,6,0.0,0.0,0.0025072097778320312,,,,
1,8,0.0,0.0,0.0025949478149414062,,,,
1,6,0.0,0.0001373291015625,0.0037708282470703125,,,,
0,9,0.0,0.0,0.0002465248107910156,,,,
0,9,0.0,0.0,0.00515294075012207,,,,
0,9,0.0,0.0,0.0,,,,
2,7,0.0,0.00016848246256510416,0.00626683235168457,,,,
1,6,0.0,0.0,0.001005411148071289,,,,
1,8,0.0,0.00023174285888671875,0.004744529724121094,,,,
1,6,0.0,0.0,0.0018277168273925781,,,,
1,6,0.0,0.0,0.0,,,,
1,6,0.0,0.0015991528828938801,0.005956411361694336,,,,
0,9,0.0,0.0001869797706604004,0.003870248794555664,,,,
0,9,0.00026950836181640627,0.0,0.004825592041015625,,,,
1,6,0.0,0.0001735687255859375,0.002405881881713867,,,,
1,8,0.0,0.0003553032875061035,0.0029304027557373047,,,,
1,6,0.0,0.0004715124766031901,0.0034885406494140625,,,,
1,6,0.0,0.00016339619954427084,0.0019381046295166016,,,,
1,6,9.171168009440105e-05,0.0010131994883219402,0.004949092864990234,,,,
1,6,0.0,0.0,0.0031859874725341797,,,,
1,6,0.0,0.00010116895039876302,0.0022745132446289062,,,,
1,6,0.0,0.0,0.0013954639434814453,,,,
1,8,0.0,0.0006601214408874512,0.003961324691772461,,,,
1,6,0.0,0.0,0.005179166793823242,,,,
1,6,0.0,5.515416463216146e-05,0.003395557403564453,,,,
1,8,0.0,0.0,0.003556966781616211,,,,
1,8,0.0,0.0,0.0022957324981689453,,,,
0,9,0.0,0.00044840574264526367,0.004395484924316406,,,,
0,9,0.0,0.00016957521438598633,0.0057811737060546875,,,,
0,9,0.0,0.0,0.0040874481201171875,,,,
2,7,0.0,0.0,0.0,,,,
0,9,0.0,0.0,0.005812644958496094,,,,
1,6,0.0,0.00013367335001627603,0.004377841949462891,,,,
0,9,0.0,0.0,0.0035376548767089844,,,,
1,6,0.0,0.0,0.0022809505462646484,,,,
1,6,0.0,0.0,0.0,,,,
1,6,0.0,0.0013055006663004558,0.004460573196411133,,,,
1,8,0.0,0.0,0.0,,,,
1,6,0.0,0.0,0.005779266357421875,,,,
1,6,0.0,0.0,0.0016181468963623047,,,,
0,9,0.0,0.0,0.00262451171875,,,,
1,8,0.0,0.0,0.0015070438385009766,,,,
1,6,0.0,0.0,0.0033953189849853516,,,,
2,9,0.0,0.0,0.0,,,,
1,8,0.0,0.0009444355964660645,0.004504203796386719,,,,
1,6,0.0,0.0,0.0035600662231445312,,,,
0,9,0.0,0.0,0.0022139549255371094,,,,
0,9,0.0,0.0,0.0,,,,
1,6,0.0,0.0014053980509440105,0.004216194152832031,,,,
1,6,0.0,0.0,0.0,,,,
1,6,0.0,0.0,0.0054471492767333984,,,,
1,6,0.0,0.0,0.0,,,,
1,8,0.0,0.00015747547149658203,0.004673004150390625,,,,
1,8,0.0,0.0,0.0,,,,
0,9,0.0,0.0,0.006229400634765625,,,,
1,6,0.0,0.0,0.0036728382110595703,,,,
0,9,0.0,0.0,0.0,,,,
1,6,0.0,0.0,0.0053746700286865234,,,,
0,9,0.0,0.00017815828323364258,0.0024466514587402344,,,,
1,6,0.0,0.0,0.001966238021850586,,,,
0,9,0.0,0.0,0.0,,,,
1,8,0.0,0.0,0.006140232086181641,,,,
1,8,0.0,0.00012940168380737305,0.0032050609588623047,,,,
0,9,0.0,0.00013047456741333008,0.004727840423583984,,,,
1,8,0.0,0.0001348257064819336,0.004021883010864258,,,,
1,6,0.0,0.0,0.0013782978057861328,,,,
